id,Organisation,Department
20,CE-PWD(B and R),Central Works Circle-Ferozepur
20,CE-PWD(B and R),Central Works Circle-Amritsar
20,CE-PWD(B and R),PRBDB
21,Assam Power Distribution Company Ltd,CGM(D) Upper Assam Region - APDCL
21,Assam Power Distribution Company Ltd,CGM(D) Central Assam Region - APDCL
21,Assam Power Distribution Company Ltd,CGM(PP and D) - APDCL
21,Assam Power Distribution Company Ltd,CGM(D) Lower Assam Region - APDCL
21,Assam Power Distribution Company Ltd,CGM(Rural Electrification) - APDCL
21,Assam Power Distribution Company Ltd,CGM(Audit) - APDCL
21,Assam Power Distribution Company Ltd,CGM (NRE)
21,Assam Power Distribution Company Ltd,CGM - (CR - M and S)
21,Assam Power Distribution Company Ltd,CGM(F and A) - APDCL
21,Assam Power Distribution Company Ltd,CGM(Commercial) - APDCL
21,Assam Power Distribution Company Ltd,CGM (IT and Projects)
22,Bodoland Territorial Council,Panchayat and Rural Development-BTC
22,Bodoland Territorial Council,Handloom and Textile-BTC
22,Bodoland Territorial Council,Fisheries-BTC
22,Bodoland Territorial Council,Forests-BTC
22,Bodoland Territorial Council,Health and Family Welfare-BTC
22,Bodoland Territorial Council,Transport-BTC
22,Bodoland Territorial Council,Education-BTC
22,Bodoland Territorial Council,Agriculture-BTC
22,Bodoland Territorial Council,Municipal corporation-BTC
22,Bodoland Territorial Council,Publicity and Public Relations-BTC
22,Bodoland Territorial Council,Urban Development Town and Country Planning-BTC
22,Bodoland Territorial Council,PWD-BTC
22,Bodoland Territorial Council,Animal Husbandry and Veterinary-BTC
22,Bodoland Territorial Council,General Administration Department - BTC
22,Bodoland Territorial Council,Irrigation-BTC
22,Bodoland Territorial Council,Public Health Engineering-BTC
22,Bodoland Territorial Council,Small Cottage and Rural Industry-BTC
22,Bodoland Territorial Council,Printing and Stationary-BTC
22,Bodoland Territorial Council,Museum and Archaelogy-BTC
22,Bodoland Territorial Council,Sports and Youth Welfare-BTC
22,Bodoland Territorial Council,Bodoland Pig Mission
22,Bodoland Territorial Council,Social Welfare-BTC
22,Bodoland Territorial Council,Green Bodoland Mission-BTC
22,Bodoland Territorial Council,Co-operation-BTC
22,Bodoland Territorial Council,Labour and Employment-BTC
22,Bodoland Territorial Council,Land and Revenue-BTC
22,Bodoland Territorial Council,Welfare of Plain Tribes and Backward Classes-BTC
22,Bodoland Territorial Council,Sericulture-BTC
22,Bodoland Territorial Council,Bodofa Livelihood Mission - BTC
23,Mazagon Dock Shipbuilders Limited,Ship Building Division - MDL
23,Mazagon Dock Shipbuilders Limited,Submarine and Heavy Engineering Div - MDL
23,Mazagon Dock Shipbuilders Limited,Corporate Planning and Personnel - MDL
24,Lakshadweep District,Lakshadweep Public Works Department-UTL
24,Lakshadweep District,Department of Electricity-UTL
24,Lakshadweep District,Department of Fisheries-UTL
24,Lakshadweep District,Medical and Health Department-UTL
24,Lakshadweep District,Lakshadweep Tourism Development Corporation Ltd (LTDC)
24,Lakshadweep District,Department of Tourism
24,Lakshadweep District,Lakshadweep Development Corporation(LDCL)
24,Lakshadweep District,Department of Agriculture
24,Lakshadweep District,Department of India Reserve Bettalion - UTL
